GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaparser,com.java.jacoco.structure,MyMethodNode,0,25,0,0,0,8,0,1,0,1
javaparser,com.java.jacoco.structure,DataNode,19,0,0,0,5,0,1,0,1,0
javaparser,com.java.jacoco.structure,DoublyLinkedList.Node,15,0,0,0,5,0,1,0,1,0
javaparser,com.java.jacoco.structure,MyASTNode,32,14,2,0,7,4,6,1,5,1
javaparser,com.java.jacoco.structure,DotNode,265,0,46,0,78,0,40,0,17,0
javaparser,com.java.jacoco.structure,DoublyLinkedList,550,0,54,0,140,0,44,0,17,0
javaparser,com.java.jacoco.structure,MyMethodDotNode,25,0,0,0,8,0,1,0,1,0
javaparser,com.java.jacoco,ASTtoDOT,167,486,11,31,21,91,8,19,0,6
javaparser,com.java.jacoco,MethodNodeVisitor,18,0,0,0,5,0,3,0,3,0
javaparser,com.java.jacoco,NodeVisitor,194,0,4,0,41,0,12,0,10,0
javaparser,com.java.jacoco,IfNodeVisitor,184,0,0,0,52,0,14,0,14,0
javaparser,com.java.jacoco,InterpVisitor2,542,0,42,0,104,0,31,0,10,0
javaparser,com.java.jacoco,ASTDotGenerator,183,0,14,0,48,0,11,0,4,0
javaparser,com.java.jacoco,InterpVisitor3,61,0,6,0,13,0,5,0,2,0
javaparser,com.java.jacoco,DirectChildren,171,0,14,0,39,0,10,0,3,0
javaparser,com.java.jacoco,ASTGenerator,271,0,26,0,61,0,17,0,4,0
javaparser,com.java.jacoco,InterpVisitor,314,0,46,0,66,0,33,0,10,0
javaparser,com.java.jacoco,TreeNode,27,0,0,0,12,0,7,0,7,0
javaparser,com.java.jacoco.util,Vertex,60,17,4,0,20,6,13,1,11,1
javaparser,com.java.jacoco.util,FileUtil,201,0,18,0,44,0,15,0,6,0
javaparser,com.java.jacoco.util,GraphOperations,258,26,31,1,55,8,20,2,4,2
javaparser,com.java.jacoco.util,Translate,3,85,0,0,2,18,1,1,1,1
javaparser,com.java.jacoco.util,ExcelUtils,318,0,18,0,63,0,12,0,3,0
javaparser,com.java.jacoco.util,Graph,45,30,2,0,10,7,5,3,4,3
javaparser,com.java.jacoco.visitor,SimpleVisitor,1316,0,126,0,279,0,81,0,18,0
javaparser,com.java.jacoco.visitor,GeneralVisitor,1431,0,158,0,295,0,97,0,18,0
javaparser,com.java.jacoco.visitor,IfVisitor,1458,0,154,0,301,0,95,0,18,0
javaparser,Main,Main,161,0,4,0,25,0,4,0,2,0
